Metal,Method,Energy1(meV),Energy2(meV),Energy3(meV),Energy4(meV),Energy5(meV),Energy6(meV),Energy7(meV),Energy8(meV)
Cu,PBE-MBDFI,1638.694290000069,438.99930000007845,927.5933100001592,667.5555899999802,664.3792300000051,1332.795240000145,853.4908899999909,1012.1098900000889
Cu,revPBE,971.9173699999733,21.9284099999415,324.1187999998445,-20.57372000008284,-51.11232000019194,339.1363899999811,7.247479999935802,139.14205999986297
Cu,REVPBE-D30,1522.8218899999003,505.51454999993916,918.1982999998586,724.3225599997797,707.6605399999929,1190.9760299998618,791.989949999965,953.6181599999849
Cu,revPBE-D3,1771.274280000065,565.4590000000477,1074.2301699999127,808.340800000098,806.9587500001254,1450.2889900000423,990.3940100000259,1156.4918600000565
Cu,revPBE-D4,1480.9579700000438,364.5411299999366,812.4333199998621,507.2527099999462,501.6835700000142,1089.2752100000598,656.7752799998439,816.613689999901
Cu,PBEsol,1584.968729999935,258.1700100000961,798.1168399999699,355.2081899999253,358.6093599999098,1090.27296000002,556.3969100000587,731.0136000000132
Cu,PBEsol-D3,1990.7839600000407,560.0849900000129,1180.6662099999796,777.5933899999372,791.8626199998946,1605.3068599998742,1031.2751499999586,1214.942759999997
Cu,PBEsol-D4,1777.0900500000057,400.8851900000554,980.7101500001955,556.4326700000546,566.1618300002167,1338.313770000143,784.5719500000304,963.374650000071
Cu,vdW-DF,1109.5916800000234,234.75952000004474,516.0188800000469,269.8939899999844,232.8868099999708,552.527170000042,277.1968600000352,382.28928999996634
Cu,vdW-DF2,1102.8523399999424,255.66277999998908,540.6722300000042,290.73715000001596,252.26312999995537,540.0218799999594,294.1143699999968,379.01607999995423
Cu,optB86b-vdW,1548.1100300000041,354.8119400000438,827.8274400000179,482.1861899999966,473.22837999994016,1084.2727200000088,632.6430099999553,779.4872899999618
Cu,rev-vdW-DF2,1439.8296999999172,284.4550299999855,731.0896599999782,380.64253999998687,367.8910599999554,942.7936100000007,510.79200999999495,653.0360199999916
Cu,R2SCAN,1581.9727000000405,274.21150000002825,793.9313899999831,371.17639999986454,368.15209000000596,1064.2691499999692,537.612469999953,715.7685400000418
Cu,R2SCAN-D3,1799.3268499999501,438.9479599999433,999.6294499998228,597.2134999999028,599.7531599999348,1337.170069999921,790.2550599999216,972.9992599998205
Cu,R2SCAN-D4,1708.917200000041,370.4672200000339,915.387670000051,504.68593000006126,505.6464300000307,1227.080370000099,688.0311000000034,868.8637200000109
Cu,R2SCAN-RVV10,1749.572220000001,391.5076899999939,950.2279699998439,542.4155299999285,545.9059499998223,1289.0749899998007,739.3911499999799,920.6357599999375
Cu,SCAN-rVV10,1789.2591000001196,382.49605000004647,965.9438600001273,524.5824700000198,527.2313600000302,1300.8079699999798,729.3833200000038,920.6726300000305
Cu,PBE0,1093.8526700002012,59.67122000005665,404.52486000011766,54.486860000193985,32.48004000004556,514.2394500001654,94.33036999999888,290.9732300001173
Cu,PBE0-D30,1468.4426500000325,382.45384000008806,800.0452099999751,527.9552400000717,509.4630700000362,1043.3675299999657,590.8364600000505,802.8102399999431
Cu,PBE0-D3,1551.2647099999567,380.6074599999256,834.0964400000365,530.5943000000561,522.5871200000212,1129.2227200000054,646.5800499999541,859.5050099998596
Cu,PBE0-D4,1383.2230399999687,262.3084499999409,677.9295400000826,358.6651800001284,346.2742300000099,911.6783300001199,449.27897999998964,656.5256499999861
Cu,PBE0-TSHI,1350.4806999998493,215.80111999982066,624.0983499998731,265.4540999999551,270.9018700000212,818.0727499998981,380.85467999999037,574.5681699998233
Cu,HSE06,1081.2547400000194,61.59715000007626,398.7623700000436,52.51711999996856,30.498870000127187,504.34571999993193,89.35873000006245,285.5191300000257
Cu,HSE06-D4,1364.7500599998982,260.36754000005715,666.5506799999492,350.32655999995035,337.73717999995245,892.4841399999806,436.4860799998853,642.8033100000592
Cu,B3LYP,871.0647599999759,-27.184740000000485,235.71816999994778,-114.49804999990754,-149.79700000002128,177.9354000000102,-143.82748999996542,11.699369999908171
Cu,B3LYP-D2,1399.640580000112,285.4420100000987,603.0406600000795,416.72990999999814,445.66909000012436,902.4268800000006,568.9718099999533,691.926970000138
Cu,B3LYP-D2-Ne,1399.640580000112,285.4420100000987,603.0406600000795,416.72990999999814,445.66909000012436,902.4268800000006,568.9718099999533,691.926970000138
Cu,B3LYP-D30,1439.5500799999375,470.45491999986,850.8731199999997,636.0019699999265,602.3088899999572,1013.4504299998373,637.4756199999183,822.2103599998962
Cu,B3LYP-D3,1643.0007399999279,492.40848000002654,958.2567700000175,681.7650499999712,678.2021099998148,1254.552129999976,807.1703599998608,994.402099999979
Cu,B3LYP-D4,1723.5611199998634,480.5641199998969,1005.5324399999663,680.851949999838,680.9777399999808,1364.170039999999,874.135509999979,1042.4315099999935
Cu,HF,187.94737585841008,-241.0800003946845,-255.61348079448726,-516.3723662298407,-553.9057473836787,-590.2586905728662,-744.2425419774967,-557.719739718639
Cu,MP2,1471.5996304210241,152.33438720455885,569.7932360714854,264.77411213291873,186.21159434610274,791.4322272702761,261.37635275839926,509.9117298465364
Cu,CCSD,1074.1902675067295,38.678334102263264,376.9743157625001,61.9705162942171,-6.716529661796577,406.8372948434256,36.02983643081837,202.66482709154786
Cu,CCSD(T),1373.8374834948997,205.017158306356,627.8892976912556,261.1632825487878,218.25104965835857,747.0661241487251,296.4905198339791,496.43733566095574
